"Symbol","Name","Price","Bid","Ask","Change ($)","Change (%)","52wk Hi","52wk Lo","Day Hi","Day Lo","Volume","Market Cap","Sector"
"AAPL","Apple","123.01","123","123.01","0.01","0.01","145.09","59.225","124.18","122.49","73851286","2064935808000","Information Technology"
"ABBV","AbbVie","108.45","108.01","109.73","0.3","0.28","113.41","71.43","108.9822","107.32","4112996","191395358552","Health Care"
"ACN","Accenture","278.49","278.22","278.49","2.14","0.77","281.3","148.28","278.77","276.065","1466011","177021390120","Information Technology"
"ACTC","ArcLight Clean Transition","18.38","18.3","18.74","0.48","2.68","31.06","9.74","19.75","18.2209","896469","637556250",""
"ADI","Analog Devices","160.38","158.21","161","5.3475","3.45","164.4","82.9","160.49","156.89","3332383","59163178341","Information Technology"
"AMBA","Ambarella","105.23","105.01","105.5","4.67","4.65","137.2099","43.69","105.8","101.12","402987","3814453963","Information Technology"
"AMC","AMC Entertainment","9.27","9.26","9.3","-0.1","-1.07","20.36","1.91","10.26","9.15","76727415","4213416885","Communication Services"
"AMD","Advanced Micro Devices","81.09","81.09","81.11","2.59","3.3","99.23","41.7","81.3092","79.48","38440337","98492531338","Information Technology"
"AMZN","Amazon.com","3161.0","3160.08","3161","66.92","2.16","3552.25","1889.15","3162.44","3115.58","2883616","1591768152623","Consumer Discretionary"
"AQB","AquaBounty Technologies","6.74","6.73","6.9","0.04","0.6","13.32","1.6","7.06","6.73","1216290","478129298","Health Care"
"ARKG","ARK Genomic Revolution ETF","","","","","","","","","","","",""
"AXP","American Express","144.6","141.25","144.6","3.1356","2.22","151.46","72.61","144.63","142.24","2217323","116174648981","Financials"
"AZN","AstraZeneca","49.53","49.52","49.59","-0.19","-0.38","64.94","42.8","49.785","49.325","5880606","130039841436","Health Care"
"BA","Boeing","252.85","252.69","252.9","-1.87","-0.73","278.5671","113.89","257.8799","251.32","10819289","147573409904","Industrials"
"BABA","Alibaba Group Holding","224.29","224.29","224.3","-2.405","-1.06","319.32","185.04","231.25","223.5","22261456","608481562500","Consumer Discretionary"
"BAC","Bank of America","39.51","39.49","39.54","0.8","2.07","39.9678","19.51","39.52","38.73","64507618","340862748329","Financials"
"BIDU","Baidu","219.7","219.76","220","2.15","0.99","354.82","90.94","227.3899","215.6181","14777037","73737464569","Communication Services"
"BLNK","Blink Charging","41.25","41.13","41.4","0.1499","0.36","64.5","1.46","44.39","40.61","7016340","1729990185","Consumer Discretionary"
"BNTX","BioNTech","113.87","113.68","114.1","4.61","4.22","131","37","114.05","110.51","1961256","27502003671","Health Care"
"BP","BP","24.575","24.54","24.59","0.225","0.92","28.57","14.74","24.605","24.1","14394929","83341766435","Energy"
"CAT","Caterpillar","232.73","232.45","232.84","0.835","0.36","237.78","100.22","234.91","227.59","3764829","126908564312","Industrials"
"CCIV","Churchill Cap Corp","23.8","23.75","23.82","0.6294","2.72","64.86","9.6","24.47","23.21","12624004","6162183000",""
"CCL","Carnival","26.81","26.87","26.9","0.32","1.21","30.12","7.8","27.1","26.5327","19541732","31012904234","Consumer Discretionary"
"DIA","SPDR Dow Jones Industrial Average ETF","331.56","331.5","331.56","0.1","0.03","332.86","207.18","331.6","329.72","5492550","",""
"DIS","Walt Disney","188.9","188.71","189.1","-0.16","-0.08","203.02","92.1","189.1","185.6","6914040","343193792744","Communication Services"
"DKNG","DraftKings","62.88","62.76","62.9","1.55","2.53","74.38","18","63.28","61.34","9831811","25007689708","Consumer Discretionary"
"DOCU","DocuSign","206.29","205.5","207.07","3.81","1.88","290.23","78.72","210.49","205.3","2234656","39832032752","Information Technology"
"ENPH","Enphase Energy","162.69","162.45","163.77","0.57","0.35","229.04","27.55","172.35","162.25","2468789","22060133738","Information Technology"
"ETSY","Etsy","208.2","208","208.5","6.54","3.24","251.86","33.96","212.14","205.4","1752865","26243459263","Consumer Discretionary"
"FB","Facebook","298.66","298.55","298.87","4.16","1.41","304.67","150.83","302.4","296.6","17563740","850485107565","Communication Services"
"FCEL","FuelCell Energy","14.35","14.33","14.37","-0.06","-0.42","29.4396","1.26","15.55","14.22","33750657","4626857915","Industrials"
"FDX","FedEx","283.36","283.36","283.59","-0.55","-0.19","305.66","103.4001","284.99","281.79","1233731","75187330372","Industrials"
"FNMA","Fannie Mae","2.04","","","-0.03","-1.45","","","2.1","2.04","2872473","2362498636",""
"FTCH","Farfetch","52.92","52.87","53.01","-0.1","-0.19","73.87","6.68","55.58","52.44","5014826","18774613143","Consumer Discretionary"
"GLW","Corning","44.03","43.4","44.55","0.48","1.1","44.12","17.82","44.06","43.4","3419962","33866290920","Information Technology"
"HD","Home Depot","307.84","303","308.01","2.59","0.85","308.54","174","308.54","303.89","3746604","331565038862","Consumer Discretionary"
"IMAX","Imax","20.98","20.96","21.01","0.88","4.38","25.05","8.25","21.09","20.31","807019","1236746432","Communication Services"
"INTC","Intel","64.55","64.47","64.6","0.55","0.86","67.44","43.61","64.87","63.575","27472063","262869914676","Information Technology"
"JMIA","Jumia Technologies","37.97","37.83","38.52","2.55","7.19","69.89","2.55","38.5577","36.13","9670557","3744546340","Consumer Discretionary"
"JNJ","Johnson & Johnson","162.87","162.5","162.87","-1.51","-0.92","173.65","125.5","163.84","162.26","6826963","428788919055","Health Care"
"JPM","JPMorgan Chase","153.73","152.9","153.75","1.4402","0.95","161.69","82.4","153.78","151.56","14215344","469108084406","Financials"
"KTOS","Kratos Defense & Security","28.29","28.21","28.45","1.01","3.7","34.11","12.78","28.7","27.69","1361494","3492770985","Industrials"
"LOW","Lowe's Companies","191.26","190.75","191.4","1.1345","0.6","192.91","79.08","191.88","189.74","3191714","137182545513","Consumer Discretionary"
"LUV","Southwest Airlines","61.28","61","61.49","0.2498","0.41","62.7561","22.465","61.56","60.76","4945958","36196715606","Industrials"
"MARA","Marathon Digital Holdings","49.18","49","49.32","0.33","0.68","49.4069","0.38","51.76","47.3108","20404000","4826606468","Information Technology"
"MAXR","Maxar Technologies","38.1","38.04","38.31","0.29","0.77","58.75","8.65","38.85","37.052","931359","2732487000","Industrials"
"MP","MP Materials","35.11","35.07","35.2","-0.84","-2.34","51.77","15.45","36.97","34.5438","4437785","5994623468","Materials"
"MRNA","Moderna","132.55","132.17","132.64","1.6","1.22","189.26","28.27","136.6372","130.34","6970896","53089640046","Health Care"
"MSFT","Microsoft","242.35","242.35","242.38","6.62","2.81","246.13","150.01","242.64","238.0501","26603719","1827855991132","Information Technology"
"MU","Micron Technology","92.47","92.45","92.5","0.06","0.06","95.75","39.33","94.38","91.25","37959235","103630011992","Information Technology"
"MVIS","Microvision","15.54","15.5","15.55","-3.01","-16.23","24.18","0.17","17.389","15.2","25791903","2444868029","Information Technology"
"NEE","NextEra Energy","75.8","75.74","75.8","0.165","0.22","1232.24","68.33","76.38","75.38","5153563","148677535548","Utilities"
"NFLX","Netflix","539.42","539.04","540.05","17.76","3.4","593.2877","357.51","540.29","527.03","3587822","238906561688","Communication Services"
"NIO","NIO","39.51","38.8","45","-0.16","-0.4","66.99","2.22","42.06","39.25","114678307","61872831981","Consumer Discretionary"
"NVDA","NVIDIA","552.47","552.37","553.24","18.54","3.47","614.9","238.39","554.8","540.45","7365502","342531400000","Information Technology"
"NXPI","NXP Semiconductors","208.08","207","208.5","6.92","3.44","209.59","72.86","208.31","204.1406","2546724","57377399762","Information Technology"
"OGI","OrganiGram Holdings","3.44","3.43","3.46","0.01","0.29","6.45","1.01","3.5752","3.39","7019537","1008264000","Health Care"
"PACB","Pacific Biosciences","33.82","33.8","34.05","0.51","1.53","53.69","2.54","36.285","33.77","3186034","6530732941","Health Care"
"PFE","Pfizer","36.26","36.02","36.5","0.07","0.19","43.0797","31.05","36.45","36.02","19277707","202264228598","Health Care"
